customer_id,loan_amount,term_months,purpose,application_date,city,state,country,channel,agent_id,campaign
20fc2409-40b7-421b-8beb-7ae24344b04a,15270.23,36.0,Car,2025-03-30,,Maryland,Guinea-Bissau,Branch,87017ff9-927c-4004-a085-19032110f877,FestiveBonanza
3b55d75d-0417-4438-9c8d-97e2b4481826,30980.79,24.0,Wedding,2022-11-01,Brendaland,Louisiana,Algeria,Branch,fa473e28-cb8a-4c35-91ae-fa81909b74c4,None
,7835.2,12.0,Vacation,2024-01-31,Chadbury,Maine,Sierra Leone,Agent,888bb666-0a1f-45b5-abeb-7e4f93662b1d,Summer2023
491a4c20-5625-45e2-a26f-5df87107a2ab,15315.09,60.0,Wedding,2023-03-18,Thompsonfort,Nevada,Hungary,Online,7cb155d6-88fb-4c56-b642-4099aa6703bf,Summer2023
73886e16-23b0-48ce-b50d-142fed6d3302,18951.73,48.0,Medical,2024-12-17,North Davidstad,Hawaii,Tunisia,Branch,ffdcc614-421e-4e4f-adc0-2d60cd53f9b9,None
6ceeb269-11f2-4d1d-ab1d-2f12781b8bbe,23347.43,60.0,,2024-07-16,Jennifermouth,Alabama,Bermuda,Agent,d98a9611-883d-435e-8238-539405237eaf,FestiveBonanza
a528c7d1-491b-437c-ac63-d980c7489a20,39473.62,12.0,Car,2024-06-22,Karentown,Ohio,Reunion,Online,e5adb28e-5441-4055-a5d5-10140577513b,FestiveBonanza
ebb9717e-7c96-4afe-86b5-829f0b375994,10784.02,48.0,Education,2024-12-28,Webbhaven,Missouri,Cyprus,Online,,Summer2023
b501b508-759c-4286-8a73-ae4a7db1c00d,26197.49,60.0,Wedding,2023-01-10,Goldenside,Colorado,Eritrea,Branch,f707a9e7-c5e6-42d3-910d-a672319e5489,Summer2023
4f3d9ab0-aac1-4e8e-8546-1ac03dddd0b3,30028.31,48.0,Medical,2022-07-28,Kellyberg,South Dakota,Djibouti,Agent,cee01963-f6fe-43dc-80ac-3fd3504de8a2,FestiveBonanza
6683581d-c941-477b-ac31-48cd52fc7df8,3276.07,24.0,Education,2024-10-02,Port Deborahfurt,Massachusetts,Suriname,Online,7396318c-fe3b-4e53-a0ce-b256ce8fabad,Summer2023
7f1b81d8-c7ae-49db-87c5-a4735f8ce764,30769.7,60.0,Vacation,2023-09-04,Amyville,Georgia,Montenegro,Branch,ad23bb53-dd98-40ab-8942-c64ed08e4659,None
5e666918-5cb5-49a4-a7e4-3e0e7da112e0,9355.68,60.0,Medical,2024-05-21,New Elizabeth,Nebraska,Chile,Agent,a191fccb-b6da-4cb8-98a4-cd222d0d851d,FestiveBonanza
ffbeec23-81f4-4698-b52c-85ebd36d07ff,4187.53,,Car,2022-12-25,Angelaview,Indiana,Croatia,Online,6515ac86-9703-4b90-adcb-0b1a8e8e3b37,None
8f9e0f39-1211-4fb2-9fd7-f21e26f27aef,47495.39,48.0,Home,2024-10-21,Tracymouth,Utah,Antigua and Barbuda,Online,d796878f-c474-490e-8cdc-8ded4d227590,Summer2023
ea817982-ce07-400c-8359-e38d98528b36,48315.97,24.0,Wedding,2024-01-03,Port Reginald,Hawaii,Ukraine,Online,c91cfd38-a6f1-4aa2-ade8-09f58e1d64c4,None
ce94dcb4-d8d0-4df4-8c4e-2fc2752169c0,40611.47,48.0,Vacation,2023-10-16,Shermanmouth,Alaska,El Salvador,Online,e552fed2-32df-4ce9-bfa8-34b5ee5a94da,FestiveBonanza
bbcc2856-d219-4c66-a840-fddcd0f1c9c6,15926.07,48.0,Vacation,2025-04-22,Ryanstad,Maryland,Cuba,Branch,11de49c2-cbd1-48a9-ad08-a083c3611f4f,None
7ab69d5e-c2aa-4fb2-a690-eaf86fa7f94b,5785.93,36.0,Vacation,2023-10-20,East Hector,Mississippi,,Online,e7f3e9c0-fa91-40ae-98ca-90714d3e8fb7,None
b341828c-a8c4-4e15-9e5d-263d8eff6ce6,34527.42,12.0,Wedding,2024-11-19,Phillipsbury,Idaho,Montenegro,Agent,b9b9935f-8a9a-4f70-8312-7afeb64148af,FestiveBonanza
e2e1e33d-08ef-4e43-b1ca-8637a052dba4,22567.47,36.0,,2024-06-18,Henrystad,South Dakota,Greece,Branch,25b2540f-60a5-4395-b99d-54d011dbbe0f,FestiveBonanza
608a9650-40c4-4aa7-ac8a-3eb696bebe65,,24.0,Medical,2025-07-02,Lake Amy,,Djibouti,Online,c01aaccd-960b-49f9-99e5-82ae71c4bc64,None
ad2b0d67-28ca-4731-992d-af7cc19b947b,25263.67,36.0,Vacation,2025-02-13,West Elaine,Virginia,,Online,224b0421-1441-4adc-9968-f8935ddb8812,None
9a093900-bcfa-4349-83b3-7046dcf7d590,2685.04,12.0,Wedding,2023-10-10,,Maine,Dominican Republic,Branch,f6b13ccb-51fb-49f2-a6a7-96f806bca625,
9a96cbc4-96f6-46b3-a0d2-ab9e3bde6375,45556.7,60.0,,2022-09-20,Lake Anthonyview,Mississippi,Russian Federation,Online,6196772a-e9a6-486c-9121-0b6b7b6f0c9d,Summer2023
3d41831b-2025-496a-8d94-10126e882659,13680.22,36.0,Car,2024-11-01,Craigstad,,French Guiana,Agent,e7cb9ba7-f6da-44b8-96d5-15bef759ae89,None
4265830f-e482-43b0-80fa-9a6875c9a79b,33463.59,12.0,Vacation,2025-02-23,Anthonyhaven,Nevada,Ghana,Branch,1a2f230f-80e3-4282-96f9-cdc2abb93f0d,FestiveBonanza
e0ae8524-25c1-44c6-b370-699f631fb703,16273.84,12.0,,2025-01-04,North Kathymouth,New Hampshire,Ecuador,Branch,40a433f6-fb63-4ae2-a4fc-e1692a6cb6fc,FestiveBonanza
de94b4ad-a0f2-4cae-962a-fdb306da09eb,26483.33,24.0,Home,2023-04-12,South Calvin,Kentucky,El Salvador,Online,c64eb668-132a-48a7-803e-bd40e07fe2df,None
9abb66bb-d907-4d40-8ea3-8d692168ed16,27788.8,12.0,Home,2025-05-30,North Jeremy,Oklahoma,Northern Mariana Islands,Agent,de098ae7-c1d1-45e0-bf2a-061cca18a4b1,
9d163ca9-f2f4-4fb3-a182-cdb6127c5a0c,10057.87,12.0,Vacation,2023-04-02,Port Susan,Oklahoma,Ethiopia,Online,d0dfde86-3b8e-46ed-945f-68bfbda5910e,Summer2023
fb566ce3-e96b-4588-929a-eaea5af2d158,48509.65,48.0,Vacation,2024-10-18,Michelleton,Washington,Netherlands,Online,ee090e6e-3943-4448-91e6-c06398ca870f,FestiveBonanza
3c28cb72-1192-40a1-9fa0-feede582e84e,38981.51,60.0,Vacation,2022-11-18,Lake Amanda,Montana,Niger,Branch,5a1cc379-64a1-4ae5-80b9-c04f9cb57f99,Summer2023
,47035.45,60.0,Wedding,2024-01-23,Mercerfurt,Virginia,Martinique,Agent,419f2ea7-4082-4ee8-9add-60d278e94874,Summer2023
40c836f8-f85b-4c95-81c8-cc50ba5c1537,44846.54,36.0,Medical,2022-11-11,Whiteland,Vermont,British Indian Ocean Territory (Chagos Archipelago),Agent,aacd5a90-4174-4561-850d-ee071f303d46,None
8ed526a0-bd5d-4610-bde4-b55d6d0d80a7,30297.1,36.0,Medical,2023-12-25,South Kathleenmouth,Pennsylvania,Uruguay,Agent,e58cb9ac-ef8a-4fbc-bd7b-a14ee6f0148a,FestiveBonanza
eda613b2-69e7-42bc-95b9-57d57b679845,46171.84,12.0,Car,2024-01-19,Wigginsberg,North Dakota,Maldives,Online,8b7073bd-774b-41f3-862d-f314ee2e040e,Summer2023
167be31f-390c-4632-9ee8-f7171026fe84,5336.13,36.0,Home,2024-10-01,New Victoria,Texas,Germany,,873d5cf3-5d3a-41bf-9e72-2089138e9811,None
3f0fb30f-6e77-47fb-a732-1ce0060d8e2f,,24.0,Vacation,2024-12-16,Wilsonburgh,New Hampshire,Kenya,Online,09213f76-e126-461d-8854-44de2b7791b4,Summer2023
b4641440-16ab-4a6f-9847-80ab08fa9091,3216.14,12.0,Wedding,2023-08-07,West Andrewmouth,Massachusetts,Guinea-Bissau,Agent,1ffcfa85-e9e8-4a9f-882d-7274ef2d09bc,Summer2023
403b467f-410b-4882-8acd-83dbf8d1e7d8,16941.19,24.0,Home,2024-11-20,Taylorhaven,Wyoming,,Online,fec70b7a-26b4-414c-bb25-9e9377214b8c,FestiveBonanza
37127f40-97f5-40c7-8b0d-5183631623b2,,12.0,Vacation,2024-04-27,West Kevinfort,Louisiana,Moldova,Online,7a722004-6a3c-40bf-8bc8-565bc02707a9,FestiveBonanza
0a39b91e-33cb-4412-92b9-3e279bdfd001,,48.0,Car,2023-04-18,Benderbury,South Dakota,Czech Republic,Agent,0b60b3f5-f175-46c9-9f21-ff6ce22adc68,
32de5837-83be-43ab-9c5a-a99385e7e3ef,41608.14,60.0,Vacation,2023-03-06,,New Jersey,Samoa,Branch,55037739-70dc-475b-9c0c-cf342c7b6939,Summer2023
52fb479f-30a7-4ea2-b1f7-f587d823149b,18480.91,48.0,Medical,2024-04-15,East Nicholas,Oklahoma,Jordan,Online,02fc7725-fdbf-46b4-b902-0080e8fa3d07,Summer2023
09b66d82-225f-470e-a8db-c8311aec4065,14765.79,12.0,,2023-06-19,East Bobby,Delaware,Finland,Branch,8e1eb874-4fdb-40bd-b974-e08052da2f24,FestiveBonanza
2dc7b3f0-c483-47b0-969a-0d995049699f,27592.11,48.0,Medical,2025-07-08,Jenniferchester,Tennessee,,Branch,964b4ce6-bb22-4e24-9fa7-ea2998538f19,None
6e4c84bc-d12d-4461-98a4-28e68b676dcb,7905.29,,Wedding,2022-08-17,Johnsland,New Jersey,Bermuda,,a0d10084-c165-41ae-b542-9ba78bae1c8c,None
da5994ac-b231-4a82-9954-7774cf902271,40307.65,12.0,Home,2023-12-27,Copelandhaven,Iowa,United States Virgin Islands,Branch,27bcede2-463a-423e-93f5-c6fc5f463f36,None
ca7e26bd-0a13-4e0a-98b4-8623e190b539,4652.98,36.0,Home,2022-07-21,North Stephanieland,Wyoming,Vanuatu,Online,eeb83323-b79e-4312-aa17-dac6ac8a9bb3,Summer2023
63c5add9-945d-4771-bcd8-c5fa397cfb24,49357.46,24.0,Vacation,2024-08-23,South Johnview,Utah,South Africa,Branch,ef5e1c49-91e2-4546-8aa1-86da7f9d26d9,Summer2023
6e048211-8359-47cf-9a94-43f6166d5104,38839.99,48.0,Car,2023-09-11,Jenniferchester,New Hampshire,Cook Islands,Branch,8878c589-d010-4aac-becb-c04df1153b69,FestiveBonanza
28b198e9-726e-425e-953e-3620b11acea9,10737.07,24.0,Home,2024-07-23,Port Jessicatown,Alabama,New Caledonia,Branch,bf484881-4cd5-4804-a5d7-d41c392abfc9,None
21d291a8-d331-4395-b437-5388692bdfc6,1270.58,12.0,Home,2022-12-08,Brownside,South Dakota,Swaziland,Agent,ece59db6-686d-4db4-b3d1-3a5bf0f44c42,None
abcdd593-cebc-4b4c-91a2-83b8e1611cde,40957.61,12.0,Home,2022-10-18,Dianaland,Oklahoma,Lithuania,Online,09f7276f-8de7-4d6c-af89-de38d9ffa166,
bd0c407d-d1c7-476e-8231-8d5f154991b4,,48.0,Medical,2024-11-15,Finleyborough,Oklahoma,Tonga,Branch,821fa345-d01c-47aa-9477-7cafe87ea9fc,Summer2023
592f5ef9-2aa2-4c18-bf3a-250ac97bbfa3,36721.35,48.0,Home,2024-03-31,Schmittburgh,Washington,Maldives,Online,07fb4a5d-ada7-47b3-89fc-ec4bbd39aebd,FestiveBonanza
7a31932c-b314-4477-9be9-7d3a9d3708df,38792.25,12.0,Medical,2025-05-26,Hernandezchester,South Carolina,Lebanon,Branch,0ae73392-6591-420c-a0b1-be2cda0b7b6e,FestiveBonanza
3a133799-f314-49df-99ab-4e53aac1a55e,4628.19,36.0,Medical,2023-07-25,West Gregory,Alabama,Seychelles,Agent,5076aabb-0af6-4716-b748-e4ca9ad08c70,None
a18ea053-38ef-4bd6-b35d-6d1d4ae3e0c2,18564.82,60.0,Wedding,,Victoriaview,Louisiana,United Kingdom,Agent,032b3ef1-5e76-497f-a4e9-145952aa4680,FestiveBonanza
b2c53265-0409-4303-89a6-34a8175177f2,6677.58,24.0,,2025-04-14,New Mark,Virginia,Iran,Branch,b25606d0-70ab-4c43-940a-6c3cd837db89,Summer2023
e6d9168b-bceb-474e-8c13-051cd27c5441,43292.07,12.0,Vacation,2024-10-06,Port Sarahstad,Alaska,,Agent,d3bfc726-4384-46fd-ba60-e9a424a84bc5,None
fec26bf2-8152-4410-bcf8-21d1694a9a28,31541.61,12.0,Wedding,2025-06-19,Port Johnburgh,Iowa,Martinique,Branch,7c875383-bb44-43f0-9616-9c6dd558377d,Summer2023
,17214.0,12.0,Vacation,2023-01-11,North Yvetteview,New Jersey,Suriname,Branch,ad2751ce-4b27-44fd-acb9-4214f6a54c94,None
5365f3e6-d7ef-4595-87df-6e78fc91486e,4114.36,60.0,Car,2023-03-18,East Joycehaven,South Dakota,Macao,Online,df3890fc-9032-4187-9641-5c04d11bb6a3,None
7d518918-8c70-4392-8207-faf81219803c,16238.13,12.0,,,Lake Christopher,North Dakota,Norfolk Island,Online,d873d89d-f472-4db0-8773-b279c33e93cf,None
87f4b67f-050a-47b4-a5dd-0d1806b89a61,16933.98,12.0,Wedding,2024-09-03,,South Dakota,Central African Republic,Online,47904a2d-1420-4e9d-9585-bd69c4fd614b,
e22bb46a-c951-46bd-923a-c3fbaf683c8c,36750.7,12.0,Vacation,2025-02-21,Crystalmouth,North Dakota,Togo,Online,8c58ad63-2c39-42fe-b401-a55c3e828508,None
1ae3c0cb-704e-4f44-9824-ed1fa4082796,32240.32,60.0,Home,2025-02-01,Kevinview,Oklahoma,Senegal,Agent,,Summer2023
48e45b36-f241-4f29-87b1-63ba9acb7b77,44473.42,48.0,Wedding,,Walkerfurt,North Carolina,Cape Verde,Agent,0ed320e8-2ecf-4b1b-ad40-d30807a91263,None
2d7c5bef-4fe1-4c6c-8cbc-cb3768acf2f9,24138.53,60.0,Education,2022-07-31,North Dianestad,Georgia,Malawi,Branch,4eb1d861-d75d-4b59-98b6-3be5c6098c5f,Summer2023
81b60916-0a14-4c9c-866d-01390bbe78c0,6860.12,36.0,Car,2023-09-10,Patriciachester,California,French Southern Territories,Branch,8b91745a-2174-4c32-81f8-ccdc9eed0681,FestiveBonanza
,35948.99,24.0,Wedding,2023-11-28,East Brian,Wyoming,Suriname,Agent,c0bdfc62-98d6-4d1f-b31d-f8bf27ac4bcd,FestiveBonanza
3c01a52a-51f2-450d-9d4f-7ea4b72748a7,38278.47,48.0,Education,2024-09-03,Lake Michael,Minnesota,New Caledonia,Online,cfe5b874-18cb-4a44-8fe8-7dfc5b4999fe,Summer2023
a899e87d-025d-4cb1-ac20-2863e5a40a84,28502.58,48.0,Vacation,2024-03-03,West Douglasberg,Ohio,Serbia,Agent,71bf32ee-9384-4bd0-bb22-8c4c51784b2a,Summer2023
8555512b-ea15-4091-b707-c163c308b2c0,38777.39,12.0,Vacation,2023-05-28,Port Stevenberg,Florida,Guinea,Online,e65068a8-717e-4a0e-a350-4f5ba01f6d9e,None
a8bcae60-56ad-400c-b507-9a82ddca42f4,25195.98,36.0,Car,2023-06-24,Lake Nicoleside,North Dakota,Philippines,Branch,9b886155-cb26-4e96-a42a-eda705b1f4cf,Summer2023
93b7f655-8e0e-407a-acb3-ef715c5b3381,26613.91,24.0,Education,2022-12-12,Keithberg,South Dakota,Poland,Branch,f5e895e3-4c3e-441c-bd57-fd8ebfc2bb98,Summer2023
0af7059b-6b46-473b-9f12-d93f2e8e70ab,21949.51,48.0,Vacation,2024-11-23,,South Dakota,Israel,Agent,4b857eea-5bc9-4228-911c-9f4dc53b9c34,FestiveBonanza
0c371d3b-f389-4765-ab48-4574639642ad,2245.54,60.0,Wedding,2023-10-24,Lake Timothy,Nebraska,Cyprus,Agent,cb1a1eaf-0045-4707-ac42-2f850dc2b4da,Summer2023
2e86e6cb-4f93-4d99-99f4-e4f9b8401ab7,6286.68,60.0,Education,2024-05-20,New Marcusburgh,Connecticut,Belarus,Agent,,Summer2023
d9e7ea79-f820-42e3-8d42-a1b1112c34fb,2540.03,24.0,Education,2025-03-26,Port Savannahside,Minnesota,Gabon,Online,3e99129c-ec20-498d-b5d4-951f64577a35,Summer2023
538c49d5-d1bd-4946-ba9e-6ae06f4283bf,32184.11,60.0,Car,2024-05-08,Mathewmouth,New Hampshire,Russian Federation,Branch,c074dea1-ca2f-4d15-989a-356a7cdee317,FestiveBonanza
6be87038-79b6-4916-90de-2e2769cdc0ae,16403.44,60.0,Car,2022-09-16,,Mississippi,Bolivia,Agent,c893ed38-b9de-4c53-87ce-218209fdf4b5,FestiveBonanza
b99619f9-7a4e-4ebf-8248-41241054f1ef,25919.96,24.0,Wedding,2023-07-17,Mcdonaldchester,Georgia,San Marino,Agent,947ba250-1f39-46f6-b75e-5e84eb6afa40,FestiveBonanza
7e44cb0b-d643-4a34-a75b-d5b3de510eb3,45470.76,60.0,Medical,2023-07-24,East Katelynchester,Maine,Qatar,Branch,87bd62d7-4c55-42a9-8c9b-962905e7bf60,Summer2023
3d2dc378-3376-4bcc-89f4-7a6375f8c92e,13215.32,12.0,Wedding,,East Alexander,Massachusetts,Iraq,Branch,1c347f03-a864-4241-9dc1-8165d8ae3ae2,FestiveBonanza
9f4ac490-28f4-4c8e-8f14-ddc2cb37d384,21108.76,12.0,Home,2023-08-06,Lake Amandahaven,Virginia,Niger,Branch,fda42748-6179-4a49-acbc-75143b1081e3,Summer2023
95352423-1a56-4c26-9d5b-02ead36e8dff,38022.01,36.0,Car,2022-10-05,New Tiffany,Montana,Suriname,Agent,691c7fac-721e-4c2c-9026-444968047b24,FestiveBonanza
a9188420-c481-41f4-ab0e-5d82a944332f,12211.11,60.0,Wedding,2024-10-06,Drewberg,Nevada,Botswana,Branch,7895553e-59a5-4a2b-88a1-bb05d9e0a009,None
ade7a6f1-155d-4631-969a-4f198550f5d1,4772.02,12.0,Home,2024-02-09,Ebonyport,South Dakota,Tuvalu,Online,db93c457-c51b-48a7-97e5-6949b08bf902,None
0b091978-2733-4759-aff6-067c1f0944b8,15197.82,24.0,Vacation,2023-11-28,Peterberg,Texas,Mauritius,Online,46c62b66-0ace-4b05-93ef-bfd7ff3e73c7,FestiveBonanza
86bfb1f6-8ea7-4bfa-9cdb-c2146601f9c4,8899.84,60.0,Vacation,2024-11-26,Foxmouth,Delaware,Saint Martin,Online,,FestiveBonanza
cd38f831-f8e2-44b1-93f7-fd6dca64c12b,46555.18,24.0,Home,2023-10-27,West Jamesport,New Jersey,Luxembourg,Branch,a6fb4e5a-0529-4792-81c7-420fe2431a86,FestiveBonanza
4db98602-3800-4b52-b8d4-9f5928b0af6b,40597.9,12.0,Education,2025-04-11,New Dianaborough,New Mexico,Mauritius,Online,e492bd6d-723f-4c5a-a0ce-8d191d09ae52,None
ca8bf4cf-7ed8-41df-8a6b-e177f407192b,32036.78,24.0,Wedding,2024-11-26,Rossshire,Wisconsin,Bahamas,Online,342d6b70-6c17-4d36-8a6f-14babee0ee43,FestiveBonanza
8ee9aca9-936e-4a7a-84a9-3d00952fc473,43701.57,60.0,Medical,2024-11-21,Bradystad,Ohio,Albania,Agent,d7c6ccc0-2599-40d6-8f41-ccc79384a1b2,None
07b94913-9f68-49cb-98b3-9b7cb85517ab,40379.93,24.0,Car,2022-08-03,Tammyfurt,Missouri,Benin,Online,,Summer2023
dde2c0df-368e-45ab-a835-4016d368f409,10141.93,48.0,,2024-09-14,Hallport,Minnesota,Japan,Online,b1cb11f1-d3fe-436a-a140-cb4d0940c4b7,None
6e43a6d4-8a9c-45ce-ba9c-28ee3f8c26bb,44735.39,36.0,Medical,,Valentinemouth,Georgia,United States Minor Outlying Islands,Agent,8b6da057-b162-4d5e-b922-34d629076cf0,None
aec2b8f3-1614-4f7f-a134-abb5e267b6f3,,24.0,Education,2023-04-03,South Gloria,Missouri,,Online,61d71404-3b5e-4a36-b0b2-43fb9fe76407,None
,40564.57,12.0,Medical,2024-11-29,West Jasmine,Hawaii,Panama,,82114456-e43b-43ff-94b7-76e118e316bf,FestiveBonanza
da3b8645-f699-44f4-9683-62b8ea45f537,44908.47,24.0,Car,2023-10-07,Pachecofurt,North Dakota,Antigua and Barbuda,Branch,157a57c3-ce4c-4174-b98d-07ae21199d72,FestiveBonanza
73c35b79-2349-4ceb-accc-68e39bee4b93,,,Car,2024-11-17,Christopherchester,New York,India,Online,da0ab88a-c26b-4bf8-b764-4b26c9f07eb4,Summer2023
e680c0c7-0df3-4c87-8ee2-2e5f88fd508a,6392.54,24.0,Medical,2023-05-18,Harperland,Florida,Marshall Islands,Branch,637c77bd-bf5e-446f-9e8f-ee987aea66df,FestiveBonanza
6f1444cb-87ca-4dfa-b532-4285a3e1f0ee,12168.82,12.0,Education,2024-10-02,Johnsonbury,Maryland,France,Branch,ac8da26a-d93e-433f-884c-7e3f7e92449a,None
9deb3427-864d-4c08-bcb6-5c3137798a3d,21928.28,60.0,Medical,2023-04-08,Sheaburgh,Kansas,Ecuador,Agent,313f0ca4-3e9f-42dd-bcc3-fb50343b716c,None
99170ad9-d9fc-435e-a27e-5073d3ffe24c,41082.72,36.0,Home,2023-11-15,Samanthaland,Oklahoma,Barbados,Online,a0645f65-3c59-45b5-b75b-34839e7c1a7c,FestiveBonanza
51fff59b-3e40-40d2-b579-cd1d0f8b9978,43175.8,24.0,Vacation,2024-01-03,,Indiana,Micronesia,Branch,47700a3a-1ec4-4989-90e5-e39ae51e2655,Summer2023
27f16a3b-3ec9-4bd0-8f41-a4cbcb478496,1340.65,12.0,Vacation,2024-04-29,Port Ryanville,Ohio,Guadeloupe,Branch,45590160-5176-48e8-9df2-1338ab475755,FestiveBonanza
0d5781c3-7405-4008-90d6-8ad0c556dd97,26026.62,36.0,Medical,2023-09-12,Charlesville,West Virginia,Belarus,Agent,d413e238-2b0c-4f81-98b0-f8f52c2aecb8,None
02c4a342-2e91-4463-b425-a4930f10bb75,21453.14,12.0,Medical,2023-09-09,Craigport,Arkansas,Chad,Agent,1560adcd-61b0-4fc6-96b5-73d5f15c9dca,Summer2023
39e2f03d-a280-4464-84d4-9a495e855648,11883.28,36.0,Home,2025-06-15,North Tiffanymouth,Minnesota,,Agent,,FestiveBonanza
117d7271-0777-4e1f-82dd-e74286814679,6873.4,12.0,Vacation,2022-09-16,Delgadoview,Tennessee,Venezuela,Agent,c1aca928-825b-47d3-b454-e7de40049940,None
fbe388e5-b54c-49a6-aeaf-5c18859741bb,17543.14,24.0,Education,2024-03-12,Port Austin,Wyoming,Martinique,,5ec8a03a-717c-498a-96e1-c501292abb85,Summer2023
,47202.58,36.0,Vacation,2022-09-17,,North Dakota,Albania,Branch,cf702fe7-8944-4d34-bcc2-6e816deb57b9,None
199cd00b-9b6f-46c8-92cc-9caeb65e7d4a,16836.94,12.0,Wedding,,Melissaland,Iowa,Portugal,Branch,062ad25e-a544-4090-b92e-e7a02ab0dbe5,None
433d4a80-3b2d-4904-a5e7-f3b700a60707,26420.74,,Wedding,2023-11-15,East Mary,Missouri,Tajikistan,Branch,c9355606-d4e3-46e6-9607-f26f8ef589e8,FestiveBonanza
697cc1f3-0246-4a44-96a4-ef8333c4b010,35447.93,48.0,Wedding,2023-06-19,Cameronfort,Ohio,Bhutan,Branch,23ce7035-60dc-4797-9052-47123c3acf83,None
bc4fde08-7a5e-4235-92e6-b73356f98835,,24.0,Car,2023-07-07,Myersfort,New Jersey,Egypt,Branch,db208b08-3b4e-4515-acdd-da375deb2785,None
d2263d4e-265e-40d7-a760-8d48b84d99ab,48617.32,48.0,Wedding,2024-05-04,Wilsontown,Hawaii,Iraq,,67cdbb4c-00cb-4e5a-ad3e-91ef893fea96,Summer2023
8f2962c1-8787-4465-91f5-bb3022fbca97,48159.92,60.0,Vacation,2025-03-20,South Brian,Nevada,Central African Republic,Branch,f9f5e086-ffe1-44b6-bdbf-efa01bd7035a,FestiveBonanza
